file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail
p-77173/14,oficina fiscal 9,si,30/7/2014,archivado,6/8/2014,22/8/2014,lo,
p2-86559/14,tercer juzgado instrucci�n san rafael,no,7/4/2014,archivado,6/8/2014,11/8/2014,lo,
p-79364/14,oficina fiscal rivadavia,si,7/8/2014,observacion,,2/10/2014,,se cayo turno no enviaron el secuetro. /nuevo turno (tercero)  para el 18-09-14 08:00 horas cristian
p-78607/14,oficina fiscal 1,si,31/7/2014,archivado,,28/8/2014,lo,
p-78606/14,oficina fiscal 1,si,31/7/2014,archivado,,28/8/2014,lo,
p-78573/14,oficina fiscal 2,si,4/8/2014,archivado,,14/8/2014,lo,
p2-92326/14,segundo juzgado instrucci�n san rafael,no,7/8/2014,archivado,19/8/2014,21/8/2014,lo,
1,segundo juzgado instrucci�n san rafael,no,3/7/2014,archivado,,7/8/2014,lo,
p2-87697/14,segundo juzgado instrucci�n san rafael,no,4/7/2014,archivado,,7/8/2014,lo,
p2-90233/14,segundo juzgado instrucci�n san rafael,no,3/7/2014,archivado,,7/8/2014,cn,
p-16716/14,rivadavia-junin,no,11/8/2014,archivado,,21/8/2014,lo,
p-74274/14,especial,si,4/8/2014,archivado,,11/8/2014,cn,iphono y samsung gt-s3650 realizado el 29/08/14 retirado el 05/09/14 por fabian mora de la especial
p-64724/14,maipu-lujan,si,6/7/2014,archivado,,12/8/2014,cn,
p-118966/14,guaymallen,si,,,,,cn,"cristian, fijate porque no coincide el n�mero de expediente con guaymall�n y con ese n� no hay ninguna hecha"
p-82831/14,oficina fiscal 1,si,13/8/2014,archivado,,15/8/2014,lo,flagrancia
p-83363/14,oficina fiscal 2,si,15/8/2014,archivado,,28/8/2014,lo,
p-81784/14,oficina fiscal 18,si,,archivado,,14/8/2014,cn,
p-78573/14,oficina fiscal 2,si,,archivado,,14/8/2014,lo,
p2-69558/14,segundo juzgado instrucci�n san rafael,no,10/4/2014,archivado,19/8/2014,21/8/2014,cn,
p-85463/14,oficina fiscal 1,si,19/8/2014,archivado,,21/8/2014,lo,
p-77253/14,oficina fiscal 8,si,28/7/2014,archivado,,19/8/2014,lo,
p2-87001/14,tercer juzgado instrucci�n san rafael,no,28/4/2014,archivado,,11/8/2014,lo,
255/14,segunda fiscalia menores san rafael,no,14/7/2014,archivado,,11/8/2014,lo,
p2-88279/14,tercer juzgado instrucci�n san rafael,no,3/6/2014,archivado,,11/8/2014,lo,
p-12668/14,san martin,no,,archivado,,21/8/2014,lo,
p-68400/14,oficina fiscal san martin,si,1/8/2014,archivado,,21/8/2014,cn,
p-75015/14,oficina fiscal san martin,no,23/7/2014,archivado,,21/8/2014,lo,
p-60773/14,oficina fiscal san martin,no,4/8/2014,archivado,,21/8/2014,cn,
17708,juzgado instrucci�n general alvear,no,27/6/2014,archivado,,14/8/2014,lo,
p-53447/14,maipu-lujan,si,19/8/2014,archivado,,21/8/2014,lo,
p-47445/14,capital,si,20/8/2014,archivado,,21/8/2014,lo,
p-84439/14,oficina fiscal 9,si,15/8/2014,archivado,,22/8/2014,lo,
p-69004/14,oficina fiscal 6,si,14/7/2014,archivado,,22/8/2014,cn,
p-70747/14,oficina fiscal 18,si,23/7/2014,archivado,,22/8/2014,cn,
p-44716/14,oficina fiscal 9,si,10/7/2014,archivado,,22/8/2014,cn,
p-35098/14,rivadavia-junin,no,8/8/2014,archivado,,29/8/2014,lo,
p2-86121/14,tercer juzgado instrucci�n san rafael,no,,archivado,27/8/2014,28/8/2014,cn,
p-89321/14,maipu-lujan,si,28/8/2014,archivado,,28/8/2014,cn,
p-89126/14,oficina fiscal 5,si,29/8/2014,archivado,,3/9/2014,lo,
p-86436/14,oficina fiscal 9,si,26/8/2014,archivado,,2/9/2014,lo,mal especificado el n�mero de expediente (p-86836/14) en la orden de extracci�n corresponde al p-86436/14
p-47033/14,guaymallen,si,1/9/2014,archivado,,4/9/2014,lo,
p-90986/14,oficina fiscal 2,si,3/9/2014,archivado,,4/9/2014,lo,
p-60429/14,primer juzgado garant�as,no,17/6/2014,archivado,4/9/2014,4/9/2014,cn,
p-88206/14,oficina fiscal 4,si,3/9/2014,archivado,,9/9/2014,lo,
p-34366/14 primero,rivadavia-junin,no,15/8/2014,archivado,,5/9/2014,lo,retira policia de investigativa rivadavia
p2-17938,cuarto juzgado instrucci�n san rafael,no,4/9/2014,archivado,15/9/2014,18/9/2014,lo,recibido oficio en udapif 01/10/14
p2-17298,cuarto juzgado instrucci�n san rafael,no,4/9/2014,archivado,15/9/2014,18/9/2014,lo,recibido oficio en udapif 01/10/14
500/14,primera fiscal�a penal menores,si,3/9/2014,archivado,,5/9/2014,cn,
p-79777/14,oficina fiscal rivadavia,no,25/8/2014,archivado,,5/9/2014,cn,
p-91251/14,oficina fiscal san martin,no,9/9/2014,archivado,,2/10/2014,lo,retira ariel morcos de choferes de la tercera circun
p2-91773/14,primer juzgado instrucci�n san rafael,no,26/8/2014,archivado,15/9/2014,16/9/2014,lo,
p2-94663/14,tercer juzgado instrucci�n san rafael,no,8/9/2014,archivado,15/9/2014,16/9/2014,lo,
p-73234/13,santa rosa,no,9/4/2014,archivado,,12/9/2014,cn,
p-58376/14,oficina fiscal san martin,no,15/9/2014,archivado,,18/9/2014,cn,retira policia de investigativa san martin aux sosa romina
p-91755/14,tercera c�mara del crimen,no,16/9/2014,archivado,,17/9/2014,cn,
p-59336/14,capital,no,17/9/2014,archivado,,25/9/2014,cn,
p-87595/14,oficina fiscal 17,si,17/9/2014,archivado,,18/9/2014,lo,
p-93048/14,oficina fiscal 8,si,10/9/2014,archivado,,18/9/2014,lo,retira flagrancia. 
p-94376/14,oficina fiscal 6,si,12/9/2014,archivado,,16/10/2014,lo,retira fabian mora
p-96817/14,oficina fiscal 13,no,17/9/2014,archivado,,18/9/2014,lo,
p-81502/14,oficina fiscal 18,si,18/9/2014,archivado,,29/9/2014,lo,entregado en ufi 4
p2-95264/14,segundo juzgado instrucci�n san rafael,no,22/9/2014,archivado,30/9/2014,,cn,
p-88070/14,maipu-lujan,si,18/9/2014,archivado,,26/9/2014,cn,
p-89910/14,oficina fiscal san martin,no,18/9/2014,archivado,,1/10/2014,lo,retira ariel morcos de choferes de la tercera circun
p-98930/14,especial,no,23/9/2014,archivado,,24/9/2014,cn,retira fabian mora
17938,cuarto juzgado instrucci�n san rafael,no,29/8/2014,archivado,25/9/2014,23/10/2014,lo,recibio en secretaria x secretaria 4 instrucci�n
p-93131/14,oficina fiscal rivadavia,no,10/9/2014,archivado,,2/10/2014,lo,retira ariel morcos de choferes de la tercera circun
p-87032/14,especial,no,24/9/2014,archivado,,,cn,retira fabian mora
p-95371/14,maipu-lujan,si,17/9/2014,archivado,,26/9/2014,lo,entregado en unidad y en juz garant�as
p-90847/14,capital,si,24/9/2014,archivado,,25/9/2014,lo,
p-30888/14,capital,si,25/9/2014,archivado,,25/9/2014,cn,
p-95759/14,flagrancia,si,23/9/2014,archivado,,29/9/2014,lo,retira paola araya de flagrancia
p-96062/14,oficina fiscal 10,si,17/9/2014,archivado,,26/9/2014,lo,entregado en unidad
p-79289/14,godoy cruz,si,26/9/2014,archivado,,29/9/2014,cn,
p-97660/14,oficina fiscal 16,si,29/9/2014,archivado,,10/10/2014,cn,
p-72380/14,godoy cruz,si,26/9/2014,archivado,,30/9/2014,cn,entregado en unidad y en juz garant�as
p-61666/14,oficina fiscal 10,si,30/9/2014,archivado,,19/11/2014,lo,
p-98444/14,oficina fiscal 8,si,24/9/2014,archivado,,7/10/2014,lo,retira ayudante fiscal
p-79384/14,especial,no,1/8/2014,archivado,,1/10/2014,cn,retira fabian mora
p-83114/14,rivadavia-junin,no,21/8/2014,archivado,,2/10/2014,lo,retira ariel morcos de choferes de la tercera circun
p-61123/14,rivadavia-junin,no,18/6/2014,archivado,,5/8/2014,cn,retira encargado despacho 
p-19460/14,rivadavia-junin,no,24/2/2014,archivado,,2/10/2014,cn,retira ariel morcos de choferes de la tercera circun
p-106305/13,godoy cruz,no,3/12/2013,archivado,,3/10/2014,cn,
p-79804/14,segunda fiscal�a penal menores,no,21/8/2013,archivado,,6/10/2014,cn,retira leonardo salinas valero de la segunda penal de menores
p-101973/14,oficina fiscal 9,si,3/10/2014,archivado,,22/10/2014,cn,"retira julian bustos, auxiliar of 9"
p-54560/14,maipu-lujan,si,7/10/2014,archivado,,7/10/2014,cn,retira gabriel de mesa de entradas
p-124066/13,maipu-lujan,si,9/10/2014,archivado,,15/10/2014,cn,recibido en mesa de entradas
p-64976/14,maipu-lujan,si,9/10/2014,archivado,,15/10/2014,cn,recibido en mesa de entradas
p-62418/14,guaymallen,si,8/10/2014,archivado,,15/10/2014,cn,recibido en mesa de entradas
p2-78442/13,primer juzgado instrucci�n san rafael,no,10/10/2014,observacion,,,,se recibi� oficio pero sin telefonos. se comunic�. se archiva oficio (cristian)
p-81940/14,valle de uco,si,7/10/2014,archivado,,22/10/2014,lo,recibido en mesa de entradas
p-101082/14,godoy cruz,si,15/10/2014,archivado,,22/10/2014,lo,recibido en mesa de entradas
p-34366/14 segundo,rivadavia-junin,no,,archivado,,30/10/2014,lo,retira ariel morcos de choferes de la tercera circun
p-104905/14,oficina fiscal 9,si,21/10/2014,archivado,,4/11/2014,lo,retira gustavo gonzalez de la oficina fiscal n� 09
p-109536/14,oficina fiscal 2,si,23/10/2014,archivado,,24/10/2014,lo,entregado en ufi capital
p-97457/14,oficina fiscal 9,si ,21/10/2014,archivado,,19/11/2014,lo,
p-109336/14,especial,no,22/10/2014,archivado,,28/10/2014,cn,recibido en jugado de garantias fecha 28/10/14 retira fabian mora
p-106952/14,guaymallen,si,22/10/2014,archivado,,28/11/2014,cn,recibido en jugado de garantias fecha 28/10/14 y recibido el 28/11/14 en ufi guaymall�n el celular
p-43426/14,especial,no,22/10/2014,archivado,,28/10/2014,cn,retira fabian mora
p-92368/14,oficina fiscal palmira,no,20/10/2014,archivado,,30/10/2014,cn,retira ariel morcos de choferes de la tercera circun
p2-95092/14,tercer juzgado instrucci�n san rafael,no,24/10/2014,archivado,30/10/2014,3/11/2014,lo,30/10/14 enviado a roxana. recibido recibo y archivo
p-109910/14,oficina fiscal 14,si,27/10/2014,archivado,,3/11/2014,lo,retira raul jardel 
p-101219/14,flagrancia,si,24/10/2014,archivado,,21/11/2014,lo,13/11/14 se entrega en garant�as y 21/11/14 retira paola telefonos para flagrancia
p-16068/14,guaymallen,si,30/10/2014,archivado,,31/10/2014,cn,entregado en mesa de entradas
p-101119/14,godoy cruz,si,29/10/2014,archivado,,31/10/2014,cn,entregado en mesa de entradas
p-114390/14,capital,si,5/11/2014,archivado,,6/11/2014,cn,entregado en mesa de entradas
autos 19046,primera c�mara del crimen - 3� circunscripci�n,no,11/11/2014,archivado,,11/11/2014,alejandro,realizado en presencia de un magistrado de la camara solicitante. este mismo retira impreso
p-119073/14 primera,especial,no,11/11/2014,archivado,,11/11/2014,alejandro,entrega alejandro en ufi especial
p-119073/14 segunda,especial,no,12/11/2014,archivado,,17/11/2014,cn,retir� rodrigo gui�az� ufi especial
4747/575,juzgado correcional y faltas general alvear,no,,observacion,,3/11/2014,,se envia informe a procuraci�n porque los telefonos no llegaron nunca y se archiva copia (cristian)
p-117720/14,oficina fiscal 2,si,10/11/2014,archivado,,13/11/2014,cn,"retira evelin burgos a las 18,45"
p-72499/14,maipu-lujan,si,,observacion,,,,14/11/14 mail con sin efecto de la medida (cristian)
p-93193/14,maipu-lujan,si,14/11/2014,archivado,,17/11/2014,cn,recibido por sebastian hannoun aux causa
p-67705/14,maipu-lujan,si,31/10/2014,archivado,,18/11/2014,cn,recibido mesa entradas correccional
p-114353/14,oficina fiscal 2,si,4/11/2014,archivado,,18/11/2014,cn,recibio en unidad fiscal capital
p-115088/14,maipu-lujan,si  ,10/11/2014,archivado,,18/11/2014,cn,recibio en ufi maip� lujan
p-124239/13,godoy cruz,si,17/11/2014,archivado,,19/11/2014,cn,recibido en mesa de entradas
p-103376/14,santa rosa,no,,archivado,,20/11/2014,cn,retira choferes de zona este salazar
p-114900/14,oficina fiscal 2,si,4/11/2014,archivado,,3/12/2014,cn,retir� auxilar gonzalo aciar
p-104594/14,oficina fiscal 18,si,4/11/2014,archivado,,19/11/2014,cn,recibido en mesa de entradas
p-108316/14,godoy cruz,si,4/11/2014,archivado,,19/11/2014,cn,recibido en mesa de entradas y en juzgado garant�as
p-99950/14,oficina fiscal rivadavia,si,9/10/2014,archivado,,20/11/2014,cn,retira choferes de zona este salazar
p-122346/14,especial,no,20/11/2014,archivado,,21/11/2014,lo,retira paola araya
p-122603/14,oficina fiscal 5,no,22/11/2014,archivado,,22/11/2014,cn,"urgencia, trae y retira la dra. sandoni"
p-118132/14,valle de uco,si,21/11/2014,archivado,,26/11/2014,lo,
p-34366/14 tercero,rivadavia-junin,no,22/9/2014,archivado,,4/12/2014,lo,retira aciar de mayordomia tercera circunscripcion
p2-97185/14,tercer juzgado instrucci�n san rafael,no,15/10/2014,archivado,1/12/2014,3/12/2014,lo,recibido pedro rios aux mesa de entradas tercer juz instru
p-55524/14,oficina fiscal 9,si,20/11/2014,archivado,,27/11/2014,cn,
p2-94359/14,tercer juzgado instrucci�n san rafael,no,24/10/2014,archivado,1/12/2014,3/12/2014,lo,recibido pedro rios aux mesa de entradas tercer juz instru
p-108068/14,maipu-lujan,si,26/11/2014,archivado,,,lo,listo falta firmarlo y entregarlo
p-34366/14 cuarto,rivadavia-junin,no,25/9/2014,archivado,,21/1/2015,cn,retira investigaciones
p-83835/14,san martin,no,19/11/2014,archivado,,11/12/2014,cn,retira salvador despacho zona este ministerio publico
p2-69125/12,segundo juzgado instrucci�n san rafael,no,11/11/2014,archivado,9/12/2014,11/12/2014,lo,mesa de entradas 2 juzgado de instrucci�n
p-88156/14,valle de uco,si,14/11/2014,archivado,,2/12/2014,cn,recibido en mesa de entradas
18101,cuarto juzgado instrucci�n san rafael,no,28/11/2014,archivado,1/12/2014,4/12/2014,cn,se firma reporte a ordenanza porque oficio venia a sobre cerrado. recibido en mesa de entradas cuarto de instrucci�n
p-114079/14,maipu-lujan,si,25/11/2014,archivado,,1/12/2014,cn,recibido en mesa de entradas
p-116590/14,oficina fiscal 6,si,5/11/2014,archivado,,28/11/2014,cn,recibido en ufi las heras-lavalle
p-121357/14,oficina fiscal 2,si,27/11/2014,archivado,,3/12/2014,cn,retir� auxilar gonzalo aciar
28873,fiscal�a instrucci�n correccional y civilda general alvear,no,3/11/2014,archivado,1/12/2014,4/12/2014,cn,nelida heredia jefa mesa de entradas 
p2-96713/14,tercer juzgado instrucci�n san rafael,no,22/10/2014,archivado,1/12/2014,3/12/2014,cn,recibido pedro rios aux mesa de entradas tercer juz instru
p-5575/14,valle de uco,si,1/12/2014,archivado,,2/12/2014,lo,recibido en mesa de entradas
p-125423/14,oficina fiscal 2,si,2/12/2014,archivado,,3/12/2014,cn,retir� auxilar gonzalo aciar
p-60466/11,maipu-lujan,no,2/12/2014,archivado,,2/12/2014,,se solicit� copia de la extraccion y se quem� un nuevo disco. retir� mariana castro de la ufi (cristian)
p-800816/14,oficina fiscal 19,si,3/12/2014,archivado,,12/12/2014,cn,recibido por rodrigo aux que lleva el expte. 
p-68548/14,rivadavia-junin,no,4/12/2014,archivado,,11/12/2014,lo,retira salvador despacho zona este ministerio publico
p-90628/14,santa rosa,si,10/12/2014,archivado,,16/12/2014,cn,retira salvador despacho zona este ministerio publico
p-79685/14,capital,si,9/12/2014,archivado,,12/12/2014,lo,
p-103939/14,santa rosa,si,4/12/2014,archivado,,11/12/2014,cn,retira salvador despacho zona este ministerio publico
p-127729/14,maipu-lujan,no,11/12/2014,archivado,,12/12/2014,lo,
p-129524/14,oficina fiscal 16,no,12/12/2014,archivado,,15/12/2014,lo,recibido en mesa de entradas  
p-127729/14,maipu-lujan,no,12/12/2014,archivado,,12/12/2014,,dr. andreoni solicit� copia de la extracci�n en cd sin volcado de la memoria microsd (luis)
p-103386/14,san martin,no,22/10/2014,archivado,,16/12/2014,cn,retira salvador despacho zona este ministerio publico
p-119073/14 tercera,especial,no,19/12/2014,archivado,,23/12/2014,lo,retira fabian mora
p-107764/14,san martin,no,22/12/2014,archivado,,,cn,retira juan jose felici marchesini ordenanza
p-117837/14,san martin,no,22/12/2014,archivado,,,cn,retira juan jose felici marchesini ordenanza
p-107094/14,oficina fiscal 17,si,22/12/2014,archivado,,29/12/2014,lo,recibido en juzgado garant�as mesa de entradas peroni y 05/01/15 recibido en ufi gc correccional telefono. prospero
p-133923/14,oficina fiscal 19,si,23/12/2014,archivado,,20/1/2015,cn,
p-114705/14,guaymallen,si,29/12/2014,archivado,,30/12/2014,cn,recibido en mesa de entradas 
p-134488/14,guaymallen,si,30/12/2014,archivado,,30/12/2014,cn,"recibido por aux leticia ongaro, instructora"
p-133862/14,oficina fiscal 9,si,2/1/2015,archivado,,6/1/2015,cn,retira auxiliar ofi 9
p-136331/14,oficina fiscal 2,si,2/1/2015,archivado,,,cn,
p-137017/14,oficina fiscal 1,si,8/1/2015,archivado,,20/1/2015,cn,
p-106807/14,maipu-lujan,si,13/1/2015,archivado,,20/1/2015,cn,
p-2618/15 primera,especial,no,9/1/2015,archivado,,14/1/2015,cn,retira maria arcoraci de mesa de entradas.
p-2748/15,oficina fiscal 2,si,16/1/2015,archivado,,28/1/2015,lo,
p-2618/15 segunda,especial,no,14/1/2015,archivado,,20/1/2015,lo,retira fabian mora
p-136421/14,oficina fiscal 9,si,16/1/2015,archivado,,3/2/2015,lo,retira aux cristian buchrucker
p-131448/14,oficina fiscal san martin,no,16/1/2015,archivado,,21/1/2015,lo,
p-119448/14,oficina fiscal 10,si,20/11/2014,archivado,,5/2/2015,cn,entregado en ufi maipu luj�n
p-120761/14,oficina fiscal 10,si,20/11/2014,archivado,,,cn,entregado en ufi maipu luj�n
p-6999/15,valle de uco,no,22/1/2015,archivado,,22/1/2015,,proc. dario beas solicita copa de videos ceo a soporte pendrive (luis)
p-6634/15,oficina fiscal 8,si,22/1/2015,archivado,,23/2/2015,lo,
p-7684/15,oficina fiscal 1,si,22/1/2015,archivado,,23/1/2015,lo,
p-6093/15,especial,no,23/1/2015,archivado,,24/1/2015,lo,
p-129189/14,oficina fiscal 5,si,23/1/2015,archivado,,27/1/2015,lo,
p-5500/15,oficina fiscal san martin,no,21/1/2015,archivado,,28/1/2015,lo,
p-9016/15 primera,especial,no,26/1/2015,archivado,,27/1/2015,lo,
p-6773/15,oficina fiscal 16,si,27/1/2015,archivado,,27/1/2015,lo,entregado en la ufi
p-7657/15,oficina fiscal 2,si,28/1/2015,archivado,,3/3/2015,lo,
p-7470/15,oficina fiscal rivadavia,no,28/1/2015,archivado,,10/2/2015,lo,retira salvador despacho zona este ministerio publico
p-123420/15,oficina fiscal 17,si,30/1/2015,archivado,,30/1/2015,lo,
p-16523/15,oficina fiscal 1,no,2/2/2015,archivado,,17/4/2015,cn,victima viene con el telefono. se hace la extracci�n y se le restituye. retira dr. espeche
p-14973/15 primera,oficina fiscal 9,no,2/2/2015,archivado,,3/2/2015,cn,comunicaci�n con ayudante fiscal por patr�n de bloqueo. retira aux cristian buchrucker
p-9016/15 segunda,especial,no,2/2/2015,archivado,,,cn,retira enrique mationi
p-9016/15 tercera,especial,no,3/2/2015,archivado,,,cn,retira pablo quiroga
p-9154/15,oficina fiscal 17,si,4/2/2015,archivado,,24/2/2015,lo,retira aux ruben alvarez
f26/15,tercer juzgado instrucci�n san rafael,no,5/2/2015,archivado,5/3/2015,6/3/2015,lo,"comunicaci�n telef�nica con la secretaria, informando que los tienen que venir a retirar. retira lic. mario �beda de administraci�n zona sur. vuelve copia firmada por mesa de entradas juzgado"
f10/15,primer juzgado correccional san rafael,no,5/2/2015,archivado,5/3/2015,6/3/2015,lo,"comunicaci�n telef�nica con la secretaria, informando que los tienen que venir a retirar. retira lic. mario �beda de administraci�n zona sur. vuelve copia firmada por mesa de entradas juzgado"
p-14973/15 segunda,oficina fiscal 9,no,5/2/2015,archivado,,,cn,retira marcelo bragagnolo
p-22539/15,oficina fiscal san martin,no,19/2/2015,archivado,,,lo,
p-26815/15,oficina fiscal 13,si,23/2/2015,archivado,,26/2/2015,lo,retira aux belen bazan ofi 13
p-15892/15,oficina fiscal 19,si,12/2/2015,archivado,,24/2/2015,cn,retira mart�n cortez
p-15060/15,oficina fiscal 19,si,3/2/2015,archivado,,23/2/2015,cn,ufi secretaria vespertina
p-27360/15,oficina fiscal 2,si,25/2/2015,archivado,,5/3/2015,lo,
p-125616/14,guaymallen,si,25/2/2015,archivado,,26/2/2015,cn,ufi gllen mesa entradas recibe distefano
p-44464/14,guaymallen,si,27/2/2015,archivado,,3/3/2015,cn,
p-27333/15,oficina fiscal 13,si,26/2/2015,archivado,,2/3/2015,cn,retira auxiliar flarguetti ofi 13
p-24841/15,oficina fiscal 8,no,27/2/2015,archivado,,27/2/2015,lo,
p-18806/15,oficina fiscal 17,si,26/2/2015,archivado,,2/3/2015,cn,retira dr. santiago barroso
p-27241/15,oficina fiscal 2,si,2/3/2015,archivado,,1/4/2015,lo,
p-25004/15,oficina fiscal 19,si,3/3/2015,archivado,,11/3/2015,lo,retira dra. montesinos. 20/03 pedido informe de la ufi sobre extracci�n. 26/03 se informa que la extracci�n fue retirada por la ayte. fiscal.
p-27773/15,oficina fiscal 2,si,5/3/2015,archivado,,16/3/2015,lo,recibido en juzgado garant�as mesa de entradas peroni. falta ofi 2
p-27793/15,oficina fiscal 1,si,9/3/2015,archivado,,11/3/2015,lo,"11/03/15 recibido en juzgado de garant�as, aux peroni. falta ofi 1. recibido en ufi correccional por est�r el expte. remitido a esa. fecha 16/03/15."
p-7569/15,oficina fiscal 19,si,3/3/2015,archivado,,11/3/2015,cn,retira dra. montesinos
p-122603/14 segunda,valle de uco,si ,4/3/2015,archivado,,11/3/2015,cn,recibido aux debora ges
p-17219/15,oficina fiscal 2,si,9/3/2015,archivado,,1/4/2015,cn,
p2-100005/15,primer juzgado instrucci�n san rafael,no,5/3/2015,archivado,1/4/2015,6/4/2015,lo,retira juan harazink - chofer. recibido x jefa mesa de entradas
p2-99903/15,segundo juzgado instrucci�n san rafael,no,9/3/2015,archivado,1/4/2015,6/4/2015,lo,retira juan harazink - chofer. recibido x jefa mesa de entradas
p-27995/15,oficina fiscal 13,si,13/3/2015,archivado,,25/3/2015,cn,retira auxilar belen bazan
p2-100405/15,segundo juzgado instrucci�n san rafael,no,5/3/2015,archivado,1/4/2015,6/4/2015,cn,retira juan harazink - chofer. recibido x jefa mesa de entradas
p2-100353/15,segundo juzgado instrucci�n san rafael,no,5/3/2015,archivado,1/4/2015,6/4/2015,cn,retira juan harazink - chofer. recibido x jefa mesa de entradas
p2-100935/15,segundo juzgado instrucci�n san rafael,no,5/3/2015,archivado,1/4/2015,6/4/2015,cn,retira juan harazink - chofer. recibido x jefa mesa de entradas
p-83255/14,maipu-lujan,si,18/3/2015,archivado,,19/3/2015,lo,
p-35898/15,oficina fiscal 15,si,11/3/2015,archivado,,,cn,recibido en juzgado de garant�as mesa de entrada peroni y en mesa de entradas ufi lujan
p-21271/15,rivadavia-junin,si,10/3/2015,archivado,,26/3/2015,cn,retira fiscal dr. carlos giuliani
p-20955/15,oficina fiscal rivadavia,si,12/3/2015,archivado,,5/5/2015,cn,retira salvador despacho zona este ministerio publico
,oficina fiscal san martin,no,20/3/2015,archivado,,5/5/2015,cn,retira salvador despacho zona este ministerio publico
p-22539/15 segunda,san martin,no,25/3/2015,archivado,,27/3/2015,cn,retira aux policial juan guzman de uid la paz
p-123704-14,capital,si,26/3/2015,archivado,,1/4/2015,cn,
p-136462/14,oficina fiscal 19,si,30/3/2015,archivado,,14/4/2015,cn,retira aux pablo gomez ofi 19
p-37599/15,oficina fiscal 19,si,27/3/2015,archivado,,1/4/2015,cn,
p-128695/14,especial,si,27/3/2015,archivado,,14/5/2015,cn,retira ordenanza de especial paola araya
p-130853/14,oficina fiscal 10,no,30/3/2015,archivado,,6/5/2015,cn,retira aux. martini alejandro ofi 10
p-22539/15 tercera,san martin,no,27/3/2015,archivado,,8/4/2015,cn,retira sargento puerta
p-38345/15,oficina fiscal 8,si,6/3/2015,archivado,,7/4/2015,lo,retira dr. forgione
p-88000/14,especial,no,1/4/2015,archivado,,20/4/2015,lo,retira aux. sofia guillot
p-45295/15,oficina fiscal 1,si,8/4/2015,archivado,,17/4/2015,cn,retira dr. espeche
p2-103515/15,segundo juzgado instrucci�n san rafael,no,10/4/2015,archivado,30/4/2015,4/5/2015,cn,retira chofer zalazar
p-43426/14 segunda,especial,no,14/4/2015,archivado,,20/4/2015,cn,retira aux. sofia guillot
p2-81118/13,primer juzgado instrucci�n san rafael,no,10/4/2015,archivado,30/4/2015,4/5/2015,cn,retira chofer zalazar
p2-100378/15,segundo juzgado instrucci�n san rafael,no,10/4/2015,archivado,30/4/2015,4/5/2015,cn,retira chofer zalazar
p-42668/15,oficina fiscal 5,no,15/4/2015,archivado,,,cn,retira aux. franco persico
p-45907/15,oficina fiscal 2,si,15/4/2015,archivado,,27/4/2015,cn,retira aux. rebeca piccini
p-35555/15,oficina fiscal 1,si,30/4/2015,archivado,,17/4/2015,lo,retira dr. espeche
p-46657/15,oficina fiscal 19,si,16/4/2015,archivado,,23/4/2015,lo,retira aux leonardo vai 
p-44985/15,oficina fiscal 13,no,16/4/2015,archivado,,28/4/2015,lo,mesa de entradas de capital
p-38026/15,oficina fiscal 9,si,16/4/2015,archivado,,20/4/2015,lo,retira aux. julio bustos
p-37804/15,oficina fiscal 9,si,16/4/2015,archivado,,29/4/2015,lo,ufi guaymallen correccional
p-79384/14 segunda,especial,no,21/10/2014,archivado,,22/4/2015,cn,retira rodrigo gui�az�. se realiz� borrado de pruebas
p-42522/15,valle de uco,si,27/4/2015,archivado,,29/4/2015,lo,retira aux gustavo morelli
p-91371/14,capital,si,27/4/2015,archivado,,28/4/2015,lo,
p-43099/15,oficina fiscal 5,si,23/4/2015,archivado,,28/4/2015,lo,mesa de entradas de las heras-lavalle
p-40949/15,san martin,no,22/4/2015,archivado,,5/5/2015,cn,retira salvador despacho zona este ministerio publico
p-45904/15,oficina fiscal 2,si,27/4/2015,archivado,,7/5/2015,cn,retira aux johana soria
p-21680/15,oficina fiscal rivadavia,no,28/4/2015,archivado,,5/5/2015,cn,retira salvador despacho zona este ministerio publico
fmz-13018283/2013/to1,tribunal oral en lo criminal federal 1,si,24/4/2015,archivado,,29/4/2015,cn,entregado en mesa de entradas del tribunal recibe c. moyano
p-47609/15,oficina fiscal 9,si,24/4/2015,archivado,,5/5/2015,lo,entregado en mesa de entradas
p-51053/15,godoy cruz,si,29/4/2015,archivado,,29/4/2015,lo,
p-54113/15,oficina fiscal 8,si,30/4/2015,archivado,,5/5/2015,lo,entregado en mesa de entradas
p-23665/15,oficina fiscal san martin,no,30/4/2015,archivado,,8/5/2015,lo,retira aux. guzman policia
p2-101178/15,primera fiscal�a correccional - san rafael,no,,archivado,27/5/2015,10/6/2015,lo,retira chofer juan harazink
p-5745/15,godoy cruz,si,6/5/2015,archivado,,12/5/2015,lo,retira aux. seiko 
p-9368/15,especial,no,6/5/2015,archivado,,14/5/2015,lo,retira ordenanza de especial paola araya
p-54390/15,oficina fiscal 9,si,4/5/2015,archivado,,8/5/2015,lo,retira dr. carlos sabalua
p-49969/15,oficina fiscal 2,si,5/5/2015,archivado,,22/5/2015,cn,mesa de entradas capital
p-49766/15,oficina fiscal 1,si,29/4/2015,archivado,,28/5/2015,cn,retira aux leonardo gonzalez
p-50581/15,oficina fiscal 13,si,8/5/2015,archivado,,12/5/2015,cn,retira aux patricia namuncur�
