file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail
p-30229/19,integridad sexual,si,11/6/2019,falta comenzar,,,,
p-30642/19,integridad sexual,si,7/6/2019,archivado,,13/6/2019,jv,aux. pablo ca�adas
p-18834/19,integridad sexual,si,11/6/2019,archivado,,29/7/2019,lo,retira osvaldo cord�n de sexuales
t-4248/19,san rafael,si,7/6/2019,archivado,,4/7/2019,jv,retira juan pablo mart�nez
p-708204/19,violencia genero,si,7/6/2019,archivado,,21/6/2019,cn,retira juan pablo mart�nez
p-10196/18,rivadavia-junin,si,18/6/2019,archivado,,2/7/2019,cn,retira aux. morcos
p-719763/19,"robos, hurtos y sustraccion automotores",si,3/7/2019,archivado,,22/7/2019,jv,retira cecilia ponce auxiliar adminstrativa de oficina fiscal n� 04
p-20560/19 tercer turno,delitos economicos,si,15/7/2019,archivado,,29/7/2019,lo,retira victoria elst de ufi economicos 
p-718269/19,violencia genero,no,10/6/2019,archivado,,16/7/2019,cn,retira aux. ana figueroa
p-702596/19 cuarto turno,san rafael,si,10/6/2019,archivado,,21/6/2019,cn,retira juan pablo martinez
p-712861/19,san martin,no,11/6/2019,archivado,,2/7/2019,jv,retira aux. morcos 
p-101606/18 segundo,integridad sexual,si,12/6/2019,archivado,,23/7/2019,ev,retira auxiliar pablo ca�adas de la ufi delitos contra la integridad sexual
p-700490/18 cuarto,valle de uco,si,14/6/2019,archivado,,30/9/2019,cn,retira aux. rodrigo bincheta de ufi valle de uco
p-708841/19,valle de uco,no,12/6/2019,archivado,,30/9/2019,ev,retira aux. rodrigo bincheta de ufi valle de uco
t-4596/19,san rafael,si,14/6/2019,archivado,,11/7/2019,ev,se lo lleva juan pablo martinez
p-721300/19,violencia genero,si,14/6/2019,observacion,,14/6/2019,cn,se realiza descarga de archivos mediante whatsapp web y se llevan los mismo en cd. participa aux. carlos fernandez de oficina fiscal nro. 5
p-719522/19,homicidios,si,24/6/2019,archivado,,1/7/2019,ev,retira aux. perez millan
p-79762/18,violencia genero,si,24/6/2019,archivado,,1/7/2019,jp,retira aux. gonzalo bustos
p-716396/19,santa rosa,si,,se cae turno,,,,"mail de sin efecto de fecha 24/06/19, 12:56 hs de ufi santa rosa la paz"
p-717748/19,homicidios,si ,19/6/2019,archivado,,1/7/2019,jv,retira aux. perez millan
p-722247/19,"robos, hurtos y sustraccion automotores",si,19/6/2019,archivado,,11/7/2019,lo,entregado en mesa de entradas de ufi robos y hurtos
p-13110/19,"robos, hurtos y sustraccion automotores",si,25/6/2019,archivado,,1/7/2019,ev,retira aux. gabriela marini de ufi robos y hurtos
p-717431/19 segundo,"robos, hurtos y sustraccion automotores",si,25/6/2019,archivado,,1/7/2019,jv,retira aux. gabriela marini de ufi robos y hurtos
p-722568/19,delitos economicos,no,21/6/2019,archivado,,24/6/2019,cn,retira daniel feltrer de ufi econ�micos
p-83870/18 segundo,homicidios,si,,se cae turno,,,,no lo trajeron
p-714035/19,san rafael,si,21/6/2019,archivado,,4/7/2019,ev,retira juan pablo martinez de san rafael
p-701998/19,san rafael,si,21/6/2019,archivado,,21/6/2019,jv,retira juan pablo martinez de san rafael
p-721527/19,violencia genero,si,25/6/2019,archivado,,4/7/2019,jp,retira aux bertona
p-723123/19,correccional,si,25/6/2019,observacion,,25/6/2019,jp,se realiza extraccion de un video del celular de la victima y se quema cd. se realiza junto aux gisela caltabiano
p-722855/19,"robos, hurtos y sustraccion automotores",si,26/6/2019,archivado,,1/7/2019,jp,retira aux. gabriela marini de ufi robos y hurtos
p-721539/19,"robos, hurtos y sustraccion automotores",si,28/6/2019,archivado,,9/9/2019,lo,retira aux. croce
t-4100/19,transito,no,25/6/2019,archivado,,27/6/2019,jp,copia de dvd. retira aux. ana goncalvez de ufi tr�nsito
p-720647/19,san rafael,si,4/7/2019,archivado,,22/8/2019,lo,retira juan pablo martinez
p-714066/19,homicidios,si,2/7/2019,archivado,,7/8/2019,jv,retira dr. oscar malla de homicidios
p-22089/19,no especializados,si,25/6/2019,archivado,,27/6/2019,ev,mar�a federica vicchi
p-79762/18 segundo,violencia genero,si,1/7/2019,archivado,,1/8/2019,lo,retira aux. gonzalo bustos
p-723384/19,"robos, hurtos y sustraccion automotores",si,1/7/2019,archivado,,6/8/2019,jv,retira aux. gabriela mar�n
p-722345/19,"robos, hurtos y sustraccion automotores",si,,turno otorgado,,,,
p-709669/19,san martin,si,2/7/2019,archivado,,6/8/2019,ev,retira aux. ariel morcos de zona este
p-722479/19,"robos, hurtos y sustraccion automotores",si,2/7/2019,archivado,,10/7/2019,lo,retira aux. ezequiel xxx de ufi robos y hurtos
p-717702/19,integridad sexual,si,,se cae turno,,,lo,no lo trajeron
p-20965/19 segundo,"robos, hurtos y sustraccion automotores",si,4/7/2019,archivado,,11/7/2019,jv,entregado en mesa de entradas de ufi robos y hurtos
p-31631/19,violencia genero,si,28/6/2019,archivado,,29/7/2019,jv,aux. bertona agustin
p-723953/19,no especializados,si,2/7/2019,archivado,,26/8/2019,ev,retira ezequiel luis echenique de esa unidad fiscal
p-5515/19,delitos economicos,si,3/7/2019,archivado,,29/7/2019,lo,retira aux. victoria elst
p-716396/19 segundo,santa rosa,si,4/7/2019,archivado,,6/8/2019,lo,retira aux. ariel morcos de zona este
p-722568/19 segundo,delitos economicos,no,1/7/2019,archivado,,2/7/2019,ev,retira aux. daniel feltrer de ufi econ�micos
p-725873/19,automotores,si,4/7/2019,archivado,,12/8/2019,jv,retira bruno nardecchia de mesa de entradas de automotores
p-105226/18,delitos economicos,si,,turno otorgado,,,,
p-722568/19 tercero,delitos economicos,si,3/7/2019,archivado,,11/7/2019,ev,retira daniel feltrer
p-725023/19,correccional,si,,turno otorgado,,,,
p-30348/18,delitos economicos,no,1/7/2019,archivado,,25/6/2019,jv,se realiza copia de cd/dvd 
p-725813/19,oficina fiscal 4,si,4/7/2019,turno otorgado,,,,
p-719630/19,san rafael,si,4/7/2019,archivado,,19/7/2019,lo,retira aux. juan pablo mart�nez de choferes
p-720949/19,san rafael,si,4/7/2019,archivado,,1/8/2019,lo,retira aux. juan pablo mart�nez de choferes
p-723635/19,san rafael,si,4/7/2019,archivado,,9/8/2019,ev,
p-726585/19,san rafael,si,4/7/2019,archivado,,9/8/2019,ev,retira juan pablo mart�nez
p-74305/18,san rafael,si,4/7/2019,archivado,,1/8/2019,jv,retira aux. juan pablo martinez
p-5515/19 segundo,delitos economicos,si,11/7/2019,archivado,,29/7/2019,ev,retira aux victoria elst
p-727803/19,oficina fiscal santa rosa,si,,se cae turno,,,,
p-717187/19,"robos, hurtos y sustraccion automotores",si,12/7/2019,archivado,,6/8/2019,ev,retira aux. gabriela marin 
p-20560/19 cuarto turno,delitos economicos,si,15/7/2019,archivado,,29/7/2019,lo,
p-723105/19,integridad sexual,si,18/7/2019,archivado,,7/8/2019,lo,retira aux. pablo ca�ada
p-725679/19,"robos, hurtos y sustraccion automotores",si,12/7/2019,falta comenzar,,,,
p-712013/19,fiscal�a instrucci�n y correccional 2 alvear,si,18/7/2019,archivado,,1/8/2019,jv,retira juan pablo mart�nez
p-725813/19,homicidios,si,17/7/2019,archivado,,7/8/2019,jv,retira dr. oscar malla de homicidios
p-701462/19,san rafael,si,18/7/2019,archivado,,1/8/2019,lo,retira juan pablo martinez
p-717702/19,integridad sexual,si,23/7/2019,archivado,,7/8/2019,cn,retira aux. osvaldo cordon
p-81763/18,san martin,si,,se cae turno,no lo trajeron,,,
p-729064/19,san rafael,si,,se cae turno,no lo trajeron,,,
p-74323/18,san rafael,si,18/7/2019,archivado,,9/8/2019,ev,retira juan pablo mart�nez 
p-727366/19,san rafael,si,18/7/2019,archivado,,9/8/2019,ev,retira juan pablo mart�nez 
p-708204/19,san rafael,si,18/7/2019,archivado,,1/8/2019,jv,retira juan pablo mart�nez 
p-730083/19,san rafael,si,,se cae turno,,,,
t-5916/19,transito,si,26/7/2019,archivado,,31/7/2019,lo,retira aux. linda herrera de ufi tr�nsito
p-36964/18,ogap 1,si,24/4/2019,archivado,,1/8/2019,cn,retira aux. adrian perez
p-731385/19,homicidios,si,31/7/2019,archivado,,12/8/2019,lo,retira bruno nardecchia de mesa de entradas de automotores
p-712826/19 segunda extracci�n,"robos, hurtos y sustraccion automotores",si,31/7/2019,archivado,,5/8/2019,lo,"recibe horacio funes, jefe de mesa de entradas."
p-733208/19,homicidios,no,24/7/2019,archivado,,24/7/2019,jp,"aportado por fiscal carlos torres el d�a 24/07/19 , se remiten los celulares y los dvd a delitos tecnologicos"
p-732413/19,delitos economicos,si,30/7/2019,archivado,,5/8/2019,cn,retira aux laura avila de ufi economicos
p-733208/19 segunda extracci�n,homicidios,no,26/7/2019,archivado,,26/7/2019,lo,recibe dra laura garc�a secretaria de la ufi
p-711288/19,integridad sexual,si,29/7/2019,archivado,,2/8/2019,ev,retira aux osvaldo cord�n de ufi sexuales
